#time, encoder, angular velocity, steering angle
10.602161, 5367067, -0.003907, 0.012598
10.635326, 5367695, -0.022776, 0.012598
10.669233, 5368338, -0.033231, 0.012598
10.702143, 5369007, 0.018711, 0.012598
10.735138, 5369665, 0.027869, 0.012598
10.768976, 5370333, 0.016284, 0.012598
10.802357, 5371049, 0.020305, 0.012598
10.835301, 5371717, -0.008354, 0.012878
10.868461, 5372436, 0.018754, 0.012878
10.902125, 5373141, -0.000053, 0.012878
10.934621, 5373855, -0.004369, 0.012878
10.968973, 5374600, 0.014675, 0.012878
11.002851, 5375350, -0.014280, 0.012878
11.035495, 5376063, 0.013110, 0.012878
11.069248, 5376825, 0.026161, 0.012598
11.103058, 5377573, 0.000429, 0.012598
11.134789, 5378322, 0.002408, 0.012598
11.169840, 5379076, -0.006992, 0.012598
11.202477, 5379880, 0.009629, 0.012598
11.234450, 5380624, 0.004876, 0.012598
11.269867, 5381394, 0.014849, 0.012598
11.302618, 5382194, 0.014526, 0.012598
11.334829, 5382968, 0.007792, 0.012598
11.369130, 5383767, 0.007363, 0.012598
11.401779, 5384546, 0.005685, 0.012598
11.434973, 5385333, -0.002574, 0.012598
11.469076, 5386145, -0.003051, 0.012598
11.502047, 5386932, -0.005146, 0.012598
11.535114, 5387729, 0.005478, 0.012598
11.569786, 5388554, 0.013374, 0.012598
11.602809, 5389360, 0.007051, 0.012598
11.635507, 5390172, -0.005560, 0.012598
11.668955, 5390984, 0.002565, 0.012598
11.702129, 5391824, 0.003610, 0.012598
11.735072, 5392644, -0.000445, 0.012598
11.768585, 5393471, 0.005768, 0.012598
11.802723, 5394325, 0.015112, 0.012598
11.834662, 5395159, -0.002570, 0.012598
11.869546, 5396018, 0.004868, 0.012598
11.902626, 5396860, -0.003805, 0.012598
11.935119, 5397711, 0.001149, 0.012878
11.969057, 5398564, 0.001567, 0.012878
12.002979, 5399468, 0.027151, 0.012878
12.035096, 5400298, 0.014595, 0.012878
12.069014, 5401154, 0.001878, 0.012878
12.102402, 5402045, 0.003384, 0.012878
12.135013, 5402913, 0.003569, 0.012878
12.169417, 5403808, 0.012136, 0.012878
12.202285, 5404677, -0.002026, 0.012878
12.235312, 5405550, 0.008079, 0.012878
12.268979, 5406428, 0.006087, 0.012878
12.302730, 5407335, -0.005911, 0.012878
